problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error
407__trapping-rain-water-ii,python2,new_transpiled_solutions/407__trapping-rain-water-ii/cpp/trapping-rain-water-ii_with_tests.py,2.0487377643585205,32.3034514,0.6862593,
410__split-array-largest-sum,cpp,new_transpiled_solutions/410__split-array-largest-sum/cpp/split-array-largest-sum_benchmark.cpp,0.06417903900146485,0.9906349,0.0466858,
410__split-array-largest-sum,python2,new_transpiled_solutions/410__split-array-largest-sum/cpp/split-array-largest-sum_with_tests.py,1.894134283065796,29.8843228,0.6365278,
41__first-missing-positive,cpp,new_transpiled_solutions/41__first-missing-positive/cpp/first-missing-positive_benchmark.cpp,0.06968522071838379,1.028269,0.0529539,
41__first-missing-positive,python2,new_transpiled_solutions/41__first-missing-positive/cpp/first-missing-positive_with_tests.py,6.649370431900024,102.6829465,2.2194339,
420__strong-password-checker,cpp,new_transpiled_solutions/420__strong-password-checker/cpp/strong-password-checker_benchmark.cpp,0.0029839515686035157,0.0523252,0.0042907,
420__strong-password-checker,python2,new_transpiled_solutions/420__strong-password-checker/cpp/strong-password-checker_with_tests.py,0.04783947467803955,0.85413,0.0422545,
42__trapping-rain-water,cpp,new_transpiled_solutions/42__trapping-rain-water/cpp/trapping-rain-water_benchmark.cpp,0.00297398567199707,0.0505187,0.0040708,
42__trapping-rain-water,python2,new_transpiled_solutions/42__trapping-rain-water/cpp/trapping-rain-water_with_tests.py,0.061357879638671876,1.0212438,0.0486204,
432__all-oone-data-structure,cpp,new_transpiled_solutions/432__all-oone-data-structure/cpp/all-oone-data-structure_benchmark.cpp,0.030195164680480956,0.4887989,0.0291443,
432__all-oone-data-structure,python2,new_transpiled_solutions/432__all-oone-data-structure/cpp/all-oone-data-structure_with_tests.py,0.07976865768432617,1.3191616,0.0529783,
440__k-th-smallest-in-lexicographical-order,cpp,new_transpiled_solutions/440__k-th-smallest-in-lexicographical-order/cpp/k-th-smallest-in-lexicographical-order_benchmark.cpp,0.006088542938232422,0.1088679,0.0099425,
440__k-th-smallest-in-lexicographical-order,python2,new_transpiled_solutions/440__k-th-smallest-in-lexicographical-order/cpp/k-th-smallest-in-lexicographical-order_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/440__k-th-smallest-in-lexicographical-order/cpp/k-th-smallest-in-lexicographical-order_with_tests.py']' returned non-zero exit status 1."
446__arithmetic-slices-ii-subsequence,cpp,new_transpiled_solutions/446__arithmetic-slices-ii-subsequence/cpp/arithmetic-slices-ii-subsequence_benchmark.cpp,0.1160428762435913,1.7735731000000001,0.0648252,
446__arithmetic-slices-ii-subsequence,python2,new_transpiled_solutions/446__arithmetic-slices-ii-subsequence/cpp/arithmetic-slices-ii-subsequence_with_tests.py,0.34220161437988283,5.3736983,0.1393858,
460__lfu-cache,cpp,new_transpiled_solutions/460__lfu-cache/cpp/lfu-cache_benchmark.cpp,0.020714473724365235,0.3018486,0.0211486,
460__lfu-cache,python2,new_transpiled_solutions/460__lfu-cache/cpp/lfu-cache_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/460__lfu-cache/cpp/lfu-cache_with_tests.py']' returned non-zero exit status 1."
472__concatenated-words,cpp,new_transpiled_solutions/472__concatenated-words/cpp/concatenated-words_benchmark.cpp,0.04929895401000976,0.742094,0.0393004,
472__concatenated-words,python2,new_transpiled_solutions/472__concatenated-words/cpp/concatenated-words_with_tests.py,0.24014637470245362,3.7359828,0.1028989,
