timestamp,slug,file,lang,status_msg,run_success,total_correct,total_testcases,status_runtime,status_memory,runtime_percentile,memory_percentile,question_id,submission_id,state
2025-10-16T11:16:09.557130Z,count-of-smaller-numbers-after-self,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0315__count-of-smaller-numbers-after-self/python/count-of-smaller-numbers-after-self.py,python,Accepted,True,66,66,1522 ms,38.6 MB,72.60390000000027,54.33819999999998,315,1803295592,SUCCESS
2025-10-16T11:16:22.878886Z,shortest-distance-from-all-buildings,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0317__shortest-distance-from-all-buildings/python/shortest-distance-from-all-buildings.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:16:39.155902Z,create-maximum-number,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0321__create-maximum-number/python/create-maximum-number.py,python,Accepted,True,102,102,111 ms,14.8 MB,100,28.703700000000016,321,1803295902,SUCCESS
2025-10-16T11:16:57.255613Z,count-of-range-sum,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0327__count-of-range-sum/python/count-of-range-sum.py,python,Accepted,True,67,67,1673 ms,22.4 MB,36.80000000000016,92.0,327,1803296081,SUCCESS
2025-10-16T11:17:13.672996Z,longest-increasing-path-in-a-matrix,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0329__longest-increasing-path-in-a-matrix/python/longest-increasing-path-in-a-matrix.py,python,Accepted,True,139,139,291 ms,13 MB,16.59489999999986,97.6596,329,1803296245,SUCCESS
2025-10-16T11:17:30.388432Z,patching-array,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0330__patching-array/python/patching-array.py,python,Accepted,True,150,150,0 ms,12.3 MB,100,96.6387,330,1803296397,SUCCESS
2025-10-16T11:17:47.017325Z,reconstruct-itinerary,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0332__reconstruct-itinerary/python/reconstruct-itinerary.py,python,Accepted,True,82,82,7 ms,12.6 MB,46.24690000000002,95.15740000000001,332,1803296555,SUCCESS
2025-10-16T11:18:03.124957Z,self-crossing,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0335__self-crossing/python/self-crossing.py,python,Accepted,True,31,31,25 ms,18.8 MB,92.5373,98.5075,335,1803296731,SUCCESS
2025-10-16T11:23:29.942028Z,palindrome-pairs,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0336__palindrome-pairs/python/palindrome-pairs.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:23:46.172836Z,data-stream-as-disjoint-intervals,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0352__data-stream-as-disjoint-intervals/python/data-stream-as-disjoint-intervals.py,python,Runtime Error,False,0,7,N/A,N/A,None,None,352,1803300076,SUCCESS
2025-10-16T11:24:03.779348Z,russian-doll-envelopes,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0354__russian-doll-envelopes/python/russian-doll-envelopes.py,python,Accepted,True,87,87,463 ms,48.2 MB,8.21120000000009,99.5169,354,1803300214,SUCCESS
2025-10-16T11:24:17.365429Z,rearrange-string-k-distance-apart,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0358__rearrange-string-k-distance-apart/python/rearrange-string-k-distance-apart.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:24:30.207942Z,insert-delete-getrandom-o1-duplicates-allowed,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0381__insert-delete-getrandom-o1-duplicates-allowed/python/insert-delete-getrandom-o1-duplicates-allowed.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:24:46.416382Z,perfect-rectangle,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0391__perfect-rectangle/python/perfect-rectangle.py,python,Accepted,True,49,49,75 ms,21.3 MB,5.813499999999975,5.813899999999994,391,1803300601,SUCCESS
2025-10-16T11:25:03.419345Z,frog-jump,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0403__frog-jump/python/frog-jump.py,python,Accepted,True,55,55,134 ms,14 MB,55.66550000000002,81.77350000000003,403,1803300770,SUCCESS
2025-10-16T11:25:19.903782Z,trapping-rain-water-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0407__trapping-rain-water-ii/python/trapping-rain-water-ii.py,python,Accepted,True,42,42,214 ms,13.9 MB,45.47210000000002,96.02980000000001,407,1803300928,SUCCESS
2025-10-16T11:25:35.992772Z,split-array-largest-sum,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0410__split-array-largest-sum/python/split-array-largest-sum.py,python,Accepted,True,34,34,1 ms,12.6 MB,85.6037,5.727499999999999,410,1803301069,SUCCESS
2025-10-16T11:25:49.285467Z,minimum-unique-word-abbreviation,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0411__minimum-unique-word-abbreviation/python/minimum-unique-word-abbreviation.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:26:05.627982Z,strong-password-checker,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0420__strong-password-checker/python/strong-password-checker.py,python,Wrong Answer,True,51,54,N/A,N/A,None,None,420,1803301319,SUCCESS
2025-10-16T11:26:18.807133Z,word-squares,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0425__word-squares/python/word-squares.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:26:32.072783Z,serialize-and-deserialize-n-ary-tree,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0428__serialize-and-deserialize-n-ary-tree/python/serialize-and-deserialize-n-ary-tree.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:26:45.268485Z,encode-n-ary-tree-to-binary-tree,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0431__encode-n-ary-tree-to-binary-tree/python/encode-n-ary-tree-to-binary-tree.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:27:02.756627Z,all-oone-data-structure,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0432__all-oone-data-structure/python/all-oone-data-structure.py,python,Accepted,True,24,24,177 ms,30.4 MB,41.46399999999993,33.33339999999999,432,1803301873,SUCCESS
2025-10-16T11:27:18.926621Z,k-th-smallest-in-lexicographical-order,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0440__k-th-smallest-in-lexicographical-order/python/k-th-smallest-in-lexicographical-order.py,python,Runtime Error,False,11,70,N/A,N/A,None,None,440,1803302044,SUCCESS
2025-10-16T11:27:35.438602Z,arithmetic-slices-ii-subsequence,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0446__arithmetic-slices-ii-subsequence/python/arithmetic-slices-ii-subsequence.py,python,Accepted,True,101,101,411 ms,59.7 MB,90.90899999999998,70.90899999999999,446,1803302200,SUCCESS
2025-10-16T11:27:48.352233Z,poor-pigs,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0458__poor-pigs/python/poor-pigs.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:28:07.298987Z,lfu-cache,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0460__lfu-cache/python/lfu-cache.py,python,Accepted,True,25,25,476 ms,82.5 MB,24.624900000000192,88.94480000000003,460,1803302484,SUCCESS
2025-10-16T11:28:20.476043Z,optimal-account-balancing,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0465__optimal-account-balancing/python/optimal-account-balancing.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:28:33.410849Z,count-the-repetitions,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0466__count-the-repetitions/python/count-the-repetitions.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:28:46.624307Z,encode-string-with-shortest-length,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0471__encode-string-with-shortest-length/python/encode-string-with-shortest-length.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:29:02.768489Z,concatenated-words,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0472__concatenated-words/python/concatenated-words.py,python,Accepted,True,43,43,177 ms,14.7 MB,53.408500000000046,64.7728,472,1803303032,SUCCESS
2025-10-16T11:29:19.197902Z,largest-palindrome-product,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0479__largest-palindrome-product/python/largest-palindrome-product.py,python,Accepted,True,8,8,7 ms,12.3 MB,14.285700000000006,78.5714,479,1803303192,SUCCESS
2025-10-16T11:29:35.887877Z,sliding-window-median,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0480__sliding-window-median/python/sliding-window-median.py,python,Accepted,True,44,44,400 ms,22.8 MB,73.05400000000007,68.26360000000003,480,1803303340,SUCCESS
2025-10-16T11:29:52.700547Z,smallest-good-base,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0483__smallest-good-base/python/smallest-good-base.py,python,Accepted,True,109,109,5 ms,12.5 MB,39.39399999999999,69.697,483,1803303518,SUCCESS
2025-10-16T11:30:06.021189Z,zuma-game,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0488__zuma-game/python/zuma-game.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:30:19.320828Z,robot-room-cleaner,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0489__robot-room-cleaner/python/robot-room-cleaner.py,python,ERROR: verify failed rc=1,,,,,,,,,,ERROR
2025-10-16T11:30:36.765220Z,reverse-pairs,C:/Users/B/Desktop/Capstone/capstone/capstone/kamyu_hard_mirror/0493__reverse-pairs/python/reverse-pairs.py,python,Accepted,True,140,140,1123 ms,17.3 MB,84.69239999999975,63.81709999999999,493,1803303935,SUCCESS
