problem,avg_duration_sec_cpp,avg_duration_sec_python,total_joules_cpp,total_joules_python,energy_gain_pct,runtime_gain_pct
sum-of-subsequence-widths,0.0037672042846679,0.1232109785079956,0.0457882999999999,1.8885514,97.57548033905776,96.94247677415902
longest-common-prefix-of-k-strings-after-removal,0.0061839342117309,0.2392166852951049,0.0986935,4.0865433,97.58491485946081,97.41492354343836
decode-ways-ii,0.0031283855438232,0.120618462562561,0.0408263999999999,1.6914383,97.58629090993152,97.4063791915764
course-schedule-iii,0.0045550107955932,0.1375467061996459,0.0458803,1.9043042,97.59070530853211,96.68838976850401
patching-array,0.0026412725448608,0.1120238065719604,0.0358154,1.5138939,97.63421994104078,97.64222210824079
count-number-of-balanced-permutations,0.0116824388504028,0.4510621547698974,0.1740472999999999,7.4101496000000004,97.65123095490542,97.41001573134362
reverse-pairs,0.0086678028106689,0.2623142480850219,0.094189,4.0112628,97.65188658294839,96.6956416306218
split-array-largest-sum,0.0038589477539062,0.1496446847915649,0.0483702,2.0879582,97.68337316331333,97.42125972647729
sliding-window-maximum,0.0039301395416259,0.1338533639907836,0.0474546,2.0905097,97.72999857403197,97.06384701553222
range-module,0.0060511827468872,0.2044190645217895,0.0707761,3.1719158,97.7686639727322,97.03981487194302
smallest-rotation-with-highest-score,0.0036328554153442,0.1288067579269409,0.039099300000000003,1.7775347,97.80036361596767,97.17960806264159
merge-k-sorted-lists,0.0064966678619384,0.2375235557556152,0.0823547,3.7517601999999997,97.8049050149847,97.26483218000376
minimum-increments-for-target-multiples-in-an-array,0.2517296075820923,8.796201467514038,3.0150071,137.3613243,97.80505384949903,97.13820097786783
find-k-th-smallest-pair-distance,0.0040791034698486,0.1589118242263794,0.0497679,2.2812135000000002,97.81835851839384,97.43310260913141
manhattan-distances-of-all-arrangements-of-pieces,0.002977442741394,0.1248249530792236,0.041467,1.9294445,97.85083219548424,97.61470549922475
student-attendance-record-ii,0.4651105880737304,15.402796125411989,5.0968618,237.2395539,97.85159695497134,96.98034964374827
xor-after-range-multiplication-queries-ii,0.0134547472000122,0.4425340175628662,0.1581234,7.3667171,97.8535432017608,96.95961289617678
count-unique-characters-of-all-substrings-of-a-given-string,0.0061347007751464,0.211719536781311,0.0676818,3.1573341999999998,97.85636249719781,97.10243992197893
separate-squares-ii,0.0088355779647827,0.3196768760681152,0.11291480000000001,5.3025194,97.87054433030457,97.23609099492701
redundant-connection-ii,0.0050114393234252,0.1791404724121093,0.0558961,2.6445974,97.88640418386557,97.20250859230934
minimum-moves-to-reach-target-in-grid,0.0027519464492797,0.1119539976119995,0.0375242,1.7785901000000002,97.89022777086187,97.5418953248841
burst-balloons,0.0076644420623779,0.3013430833816528,0.10204440000000001,4.8448487,97.89375465945925,97.45657276205978
trapping-rain-water,0.0036056756973266,0.1277405500411987,0.0365541,1.7416459,97.9011749747753,97.17734447192868
dungeon-game,0.0031013965606689,0.1448948621749878,0.0425354,2.0455879,97.92062712142557,97.85955380741976
count-non-decreasing-subarrays-after-k-operations,0.0036071300506591,0.1276485681533813,0.0432372,2.1038031,97.94480766759969,97.17417116161866
maximize-active-section-with-trade-ii,0.0079989910125732,0.3371422529220581,0.110504,5.3912702,97.95031604982441,97.62741366789692
longest-increasing-path-in-a-matrix,0.0089471340179443,0.3225864171981811,0.1040707,5.0805470999999995,97.95158478109572,97.22643808265256
next-special-palindrome-number,0.0028246641159057,0.109876275062561,0.0368775,1.8038038,97.95557033420154,97.42923200272541
find-the-original-typed-string-ii,0.0046355009078979,0.1799536228179931,0.0640442,3.132957,97.9557906476214,97.42405802377966
path-existence-queries-in-a-graph-ii,0.0058913946151733,0.2063316345214843,0.0731019,3.6303803,97.9863845118375,97.14469638703906
candy,0.0032415866851806,0.1254074811935424,0.0378722,1.9052992999999998,98.0122703031487,97.41515685162528
first-missing-positive,0.0037614583969116,0.1414264917373657,0.0451964,2.2784122,98.01632031289158,97.34034384173455
cat-and-mouse,0.0152810096740722,0.6153709888458252,0.1925838,9.7201897,98.01872385268366,97.51678094173192
